Product_name,Total,1_star,2_star,3_star,4_star,5_star,Image_Link
Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379,54,7,4,6,13,24,https://images-na.ssl-images-amazon.com/images/I/618IdSgnVvL._UX342_.jpg
Geneva Platinum Analogue Gold Dial Women's Watch -GNV01,338,82,20,36,72,128,https://images-na.ssl-images-amazon.com/images/I/71LeNhMuPkL._UY445_.jpg
Geneva Platinum Analogue Rose Gold Dial Women's Watch- Gp-649,279,66,22,38,57,96,https://rukminim1.flixcart.com/image/400/400/jefzonk0/watch/w/h/h/platinum-analogue-rose-gold-dial-geneva-original-imaf33h9bggqvvet.jpeg?q=90
A R Sales Analogue Girl's and Women's Watch,154,30,7,18,31,68,https://images-na.ssl-images-amazon.com/images/I/71bKz7deBCL._UL1500_.jpg
Adamo Analog Blue Dial Women's Watch-9710SM01,109,1,5,11,15,39,https://img1.cfcdn.club/fe/5a/fe5165ce04b163bff01f81534ee7575a_350x350.jpg
ADAMO Aritocrat Women's & Girl's Watch BG-335,192,28,8,22,38,96,https://img.looksgud.com/upload/item-image/2284/1cyi4/1cyi4-adamo-aritocrat-women-s-girl-s-watch-bg-335_500x500_3.jpg
Analogue Pink,88,9,5,5,21,48,https://images-na.ssl-images-amazon.com/images/I/61o7-qmJgvL._UL1200_.jpg
Everyday Analog Black Dial Women's Watch -NK8085SM01,297,16,7,21,92,161,https://img0.junaroad.com/uiproducts/12583601/zoom_0-1483108171.jpg
Foxter Bangel Analog White Dial Women's Watch,190,32,11,25,39,83,https://suratcity.co.in/SellerCentral/U/1157.jpg
Howdy Women Watch,278,38,19,17,47,157,https://images-na.ssl-images-amazon.com/images/I/812OoxHcofL._UX342_.jpg
IIK Collection Watches Analogue Silver Dial Girl's & Women's Analogue Watch - IIK-1033W,353,37,24,32,93,167,https://images-na.ssl-images-amazon.com/images/I/714oCDGhuQL._UY445_.jpg
IIk Collection Watches Stainless Steel Chain Day and Date Analogue Silver Dial Women's Watch,80,14,5,11,18,32,https://images-na.ssl-images-amazon.com/images/I/71GnM2heFOL._UY445_.jpg
Imperious Analog Women's Watch 1021-1031,146,33,12,10,39,52,https://images-na.ssl-images-amazon.com/images/I/51LTJjshaIL._UX342_.jpg
NUBELA Analogue Prizam Glass Black Dial Girl's Watch,162,19,7,24,42,70,https://images-na.ssl-images-amazon.com/images/I/81jksKWkT%2BL._UX342_.jpg
Sonata Analog Champagne Dial Women's Watch-NK87018YM01,133,5,1,12,43,72,https://images-na.ssl-images-amazon.com/images/I/817ugtVNUsL._UL1500_.jpg
Sonata Analog White Dial Women's Watch -NJ8976SM01W,338,47,20,35,94,192,https://images-na.ssl-images-amazon.com/images/I/51BabxzyGNL._UL1488_.jpg
Sonata Analog White Dial Women's Watch -NJ8989PP03C,136,7,4,12,49,64,https://images-na.ssl-images-amazon.com/images/I/61gm22wW7xL._UL1500_.jpg
Sonata SFAL Analog Silver Dial Women's Watch -NK8080SM01,179,5,4,12,50,108,https://images-na.ssl-images-amazon.com/images/I/71BePmAsgKL._UL1500_.jpg
Sonata SFAL Analog Silver Dial Women's Watch -NK8080SM-3372,3118,533,171,362,768,1284,https://img0.junaroad.com/uiproducts/13271603/zoom_0-1492596416.jpg
TIMEWEAR Analogue Brown Dial Women's Watch - 134Bdtl,68,11,6,8,17,26,https://images-na.ssl-images-amazon.com/images/I/81qIbTUUkOL._UY500_.jpg
Timewear Analogue Round Beige Dial Women's Watch - 107Wdtl,141,25,7,8,36,65,https://images-na.ssl-images-amazon.com/images/I/81sERrRwNmL._UY445_.jpg